"Mechanism","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Cut/Pierce","Texas","2018","184","28,624,564","0.64","0.65","4,191"
"Cut/Pierce","Utah","2023","16**","3,417,734","0.47**","0.49**","333"
"Cut/Pierce","Utah","2022","19**","3,381,236","0.56**","0.59**","457"
"Cut/Pierce","Utah","2021","12**","3,339,284","0.36**","0.37**","388"
"Cut/Pierce","Utah","2020","15**","3,283,982","0.46**","0.45**","376"
"Cut/Pierce","Utah","2019","19**","3,203,383","0.59**","0.59**","375"
"Cut/Pierce","Utah","2018","20**","3,155,153","0.63**","0.67**","523"
"Cut/Pierce","Vermont","2023","--","647,464","--","--","--"
"Cut/Pierce","Vermont","2022","--","647,110","--","--","--"
"Cut/Pierce","Vermont","2021","--","647,093","--","--","--"
"Cut/Pierce","Vermont","2020","--","642,936","--","--","--"
"Cut/Pierce","Vermont","2019","--","624,046","--","--","--"
"Cut/Pierce","Vermont","2018","--","624,802","--","--","--"
"Cut/Pierce","Virginia","2023","65","8,715,698","0.75","0.72","1,128"
"Cut/Pierce","Virginia","2022","50","8,679,099","0.58","0.57","1,128"
"Cut/Pierce","Virginia","2021","67","8,657,348","0.77","0.71","1,048"
"Cut/Pierce","Virginia","2020","63","8,637,193","0.73","0.71","1,323"
"Cut/Pierce","Virginia","2019","63","8,556,642","0.74","0.71","1,315"
"Cut/Pierce","Virginia","2018","67","8,510,920","0.79","0.78","1,469"
"Cut/Pierce","Washington","2023","55","7,812,880","0.70","0.69","1,191"
"Cut/Pierce","Washington","2022","53","7,784,477","0.68","0.63","973"
"Cut/Pierce","Washington","2021","73","7,741,433","0.94","0.91","1,499"
"Cut/Pierce","Washington","2020","65","7,724,566","0.84","0.79","1,494"
"Cut/Pierce","Washington","2019","57","7,614,024","0.75","0.70","1,055"
"Cut/Pierce","Washington","2018","76","7,526,793","1.01","0.95","1,680"
"Cut/Pierce","West Virginia","2023","12**","1,770,071","0.68**","0.69**","321"
"Cut/Pierce","West Virginia","2022","20**","1,774,035","1.13**","1.03**","359"
"Cut/Pierce","West Virginia","2021","--","1,785,249","--","--","--"
"Cut/Pierce","West Virginia","2020","12**","1,791,562","0.67**","0.64**","174"
"Cut/Pierce","West Virginia","2019","10**","1,795,263","0.56**","0.52**","176"
"Cut/Pierce","West Virginia","2018","15**","1,805,953","0.83**","0.73**","273"
"Cut/Pierce","Wisconsin","2023","36","5,910,955","0.61","0.61","695"
"Cut/Pierce","Wisconsin","2022","35","5,890,543","0.59","0.61","735"
"Cut/Pierce","Wisconsin","2021","36","5,879,978","0.61","0.57","670"
"Cut/Pierce","Wisconsin","2020","40","5,896,700","0.68","0.67","982"
"Cut/Pierce","Wisconsin","2019","53","5,824,581","0.91","0.90","1,105"
"Cut/Pierce","Wisconsin","2018","31","5,809,319","0.53","0.51","548"
"Cut/Pierce","Wyoming","2023","--","584,057","--","--","--"
"Cut/Pierce","Wyoming","2022","--","581,629","--","--","--"
"Cut/Pierce","Wyoming","2021","--","579,548","--","--","--"
"Cut/Pierce","Wyoming","2020","--","577,664","--","--","--"
"Cut/Pierce","Wyoming","2019","--","580,116","--","--","--"
"Cut/Pierce","Wyoming","2018","--","579,054","--","--","--"
"Drowning (includes water transport)","Alabama","2023","--","5,108,468","--","--","--"
"Drowning (includes water transport)","Alabama","2022","--","5,073,903","--","--","--"
"Drowning (includes water transport)","Alabama","2020","--","5,031,864","--","--","--"
"Drowning (includes water transport)","Alabama","2019","--","4,907,965","--","--","--"
"Drowning (includes water transport)","Alabama","2018","--","4,891,628","--","--","--"
"Drowning (includes water transport)","Alaska","2023","--","733,406","--","--","--"
"Drowning (includes water transport)","Alaska","2022","--","733,276","--","--","--"
"Drowning (includes water transport)","Alaska","2020","--","732,964","--","--","--"
"Drowning (includes water transport)","Alaska","2019","--","733,603","--","--","--"
"Drowning (includes water transport)","Alaska","2018","--","736,624","--","--","--"
"Drowning (includes water transport)","Arizona","2023","--","7,431,344","--","--","--"
"Drowning (includes water transport)","Arizona","2022","--","7,365,684","--","--","--"
"Drowning (includes water transport)","Arizona","2021","--","7,272,487","--","--","--"
"Drowning (includes water transport)","Arizona","2020","--","7,186,683","--","--","--"
"Drowning (includes water transport)","Arizona","2019","11**","7,291,843","0.15**","0.16**","263"
"Drowning (includes water transport)","Arizona","2018","--","7,164,228","--","--","--"
"Drowning (includes water transport)","Arkansas","2023","--","3,067,732","--","--","--"
"Drowning (includes water transport)","Arkansas","2022","--","3,046,404","--","--","--"
"Drowning (includes water transport)","Arkansas","2021","10**","3,028,443","0.33**","0.32**","249"
"Drowning (includes water transport)","Arkansas","2020","--","3,014,348","--","--","--"
"Drowning (includes water transport)","Arkansas","2019","--","3,020,985","--","--","--"
"Drowning (includes water transport)","Arkansas","2018","--","3,012,161","--","--","--"
"Drowning (includes water transport)","California","2023","61","38,965,193","0.16","0.15","1,245"
"Drowning (includes water transport)","California","2022","75","39,040,616","0.19","0.18","1,454"
"Drowning (includes water transport)","California","2021","71","39,145,060","0.18","0.17","1,538"
"Drowning (includes water transport)","California","2020","74","39,503,200","0.19","0.18","1,632"
"Drowning (includes water transport)","California","2019","96","39,437,610","0.24","0.24","2,278"
"Drowning (includes water transport)","California","2018","72","39,437,463","0.18","0.18","1,959"
"Drowning (includes water transport)","Colorado","2023","--","5,877,610","--","--","--"
"Drowning (includes water transport)","Colorado","2022","--","5,841,039","--","--","--"
"Drowning (includes water transport)","Colorado","2021","--","5,811,596","--","--","--"
"Drowning (includes water transport)","Colorado","2020","--","5,785,219","--","--","--"
"Drowning (includes water transport)","Colorado","2019","--","5,758,486","--","--","--"
"Drowning (includes water transport)","Colorado","2018","--","5,697,155","--","--","--"
"Drowning (includes water transport)","Connecticut","2023","--","3,617,176","--","--","--"
"Drowning (includes water transport)","Connecticut","2022","--","3,608,706","--","--","--"
"Drowning (includes water transport)","Connecticut","2021","--","3,603,691","--","--","--"
"Drowning (includes water transport)","Connecticut","2020","--","3,577,586","--","--","--"
"Drowning (includes water transport)","Connecticut","2019","--","3,566,022","--","--","--"
"Drowning (includes water transport)","Connecticut","2018","--","3,574,561","--","--","--"
"Drowning (includes water transport)","Delaware","2023","--","1,031,890","--","--","--"
"Drowning (includes water transport)","Delaware","2021","--","1,004,881","--","--","--"
"Drowning (includes water transport)","Delaware","2020","--","991,862","--","--","--"
"Drowning (includes water transport)","Delaware","2019","--","976,668","--","--","--"
"Drowning (includes water transport)","District of Columbia","2022","--","670,949","--","--","--"
"Drowning (includes water transport)","District of Columbia","2019","--","708,253","--","--","--"
"Drowning (includes water transport)","District of Columbia","2018","--","704,147","--","--","--"
"Drowning (includes water transport)","Florida","2023","43","22,610,726","0.19","0.17","670"
"Drowning (includes water transport)","Florida","2022","28","22,245,521","0.13","0.12","555"
"Drowning (includes water transport)","Florida","2021","36","21,830,708","0.17","0.15","708"
"Drowning (includes water transport)","Florida","2020","36","21,591,299","0.17","0.16","833"
"Drowning (includes water transport)","Florida","2019","53","21,492,056","0.25","0.22","907"
"Drowning (includes water transport)","Florida","2018","67","21,254,926","0.32","0.28","1,085"
"Drowning (includes water transport)","Georgia","2023","10**","11,029,227","0.09**","0.09**","272"
"Drowning (includes water transport)","Georgia","2022","20**","10,913,150","0.18**","0.18**","456"
"Drowning (includes water transport)","Georgia","2021","17**","10,790,385","0.16**","0.16**","388"
