Session Title,"Opioid Overdoses in ED, State Month Age",,,,,
Session ID,2768312,,,,,
Data Model,ED Encounters,,,,,
Population Base,All ED Encounters,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,,
Session Date Range,1/1/2023 - 3/31/2024 (Based On Arrival Date),,,,,
Measure,Number of ED Encounters,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,10/22/2025,,,,,
,,,,,,
,,,,,,
,,,ED Diagnoses,"ICD-10 OPIOID OVERDOSE, Initial Encounter",None of the above,"Total: Total includes all data, including data from columns not currently displayed."
Year,Month,State of Residence (U.S.),Age at Time of Visit,,,
,,,≥ 45 and < 65 Years,16,59672,59688
,,,65 Years or more,15,57384,57399
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,108,267247,267355
,,Pennsylvania,Less than 15 Years,10 or fewer,26402,26404
,,,≥ 15 and < 25 Years,19,21910,21929
,,,≥ 25 and < 45 Years,99,50754,50853
,,,≥ 45 and < 65 Years,58,47169,47227
,,,65 Years or more,12,53693,53705
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,190,199929,200119
,,North Carolina,Less than 15 Years,10 or fewer,26744,26745
,,,≥ 15 and < 25 Years,26,20182,20208
,,,≥ 25 and < 45 Years,120,45161,45281
,,,≥ 45 and < 65 Years,73,39644,39717
,,,65 Years or more,18,40496,40514
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,238,172229,172467
,,Virginia,Less than 15 Years,10 or fewer,23833,23833
,,,≥ 15 and < 25 Years,25,18637,18662
,,,≥ 25 and < 45 Years,105,44182,44287
,,,≥ 45 and < 65 Years,86,38534,38620
,,,65 Years or more,28,39361,39389
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,244,164548,164792
,,New York,Less than 15 Years,10 or fewer,21329,21329
,,,≥ 15 and < 25 Years,10 or fewer,18658,18664
,,,≥ 25 and < 45 Years,77,43678,43755
,,,≥ 45 and < 65 Years,64,38234,38298
,,,65 Years or more,20,40398,40418
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,167,162298,162465
,,Illinois,Less than 15 Years,10 or fewer,25956,25956
,,,≥ 15 and < 25 Years,10 or fewer,16583,16593
,,,≥ 25 and < 45 Years,57,33930,33987
,,,≥ 45 and < 65 Years,51,31081,31132
,,,65 Years or more,10 or fewer,35510,35519
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,127,143064,143191
,,Michigan,Less than 15 Years,10 or fewer,16036,16036
,,,≥ 15 and < 25 Years,10 or fewer,13874,13880
,,,≥ 25 and < 45 Years,72,32552,32624
,,,≥ 45 and < 65 Years,31,29676,29707
,,,65 Years or more,19,32330,32349
,,,No value,10 or fewer,10 or fewer,10 or fewer
,,,Total,128,124468,124596
,,California,Less than 15 Years,10 or fewer,19095,19095
,,,≥ 15 and < 25 Years,20,12699,12719
