Session Title,HbA1c 7.5+ and HbA1c 7.0+ and HbA1c 6.5+ and Number of Patients by Age in Years (Current) Range and State of Residence (U.S.),,,,
Session ID,2748873,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,Base Patient,,,,
Session Date Range,1/1/2023 - 7/10/2025,,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,8/11/2025,,,,
,,,,,
,,,,,
,Measures,HbA1c 7.5+ (%),HbA1c 7.0+ (%),HbA1c 6.5+ (%),Number of Patients
Age in Years (Current),State of Residence (U.S.),,,,
Less than 18,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,New Hampshire,7.7%,9.7%,12.4%,193462
,South Dakota,9.5%,11.8%,15.2%,113215
,Wyoming,8.2%,10.4%,14.1%,56891
,New Mexico,6.3%,8%,10.5%,118935
,Massachusetts,9%,11.5%,15.3%,891953
,Hawaii,7.6%,9.8%,13.3%,229821
,Connecticut,8.2%,10.6%,14.2%,729171
,Rhode Island,8%,10.2%,13.4%,49107
,Oregon,8.4%,10.5%,13.7%,505755
,Texas,8.1%,10.3%,13.8%,2725455
,Georgia,8.1%,10.5%,14.3%,870103
,Arizona,6%,7.8%,10.6%,522779
,Washington,7.5%,9.6%,12.8%,472799
,Vermont,6.1%,7.8%,10%,139055
,Florida,6.2%,8.3%,11.6%,2522294
,Puerto Rico,6.3%,8.6%,12%,14088
,California,6.4%,8.4%,11.3%,2221524
,Alaska,5.6%,7.6%,10.2%,5347
,Montana,6%,7.8%,10.8%,89500
,Colorado,6.3%,8.1%,11%,695511
,None of the above,6.2%,7.9%,10.6%,808042
,Total,9.1%,11.6%,15.4%,36821705
No value,Federated States of Micronesia,-,-,-,10 or fewer
,Northern Mariana Islands,-,-,-,10 or fewer
,Marshall Islands,-,-,-,10 or fewer
,"American Samoa, South Pacific",-,-,-,10 or fewer
,Mississippi,-,-,-,22
,Indiana,-,-,-,20
,West Virginia,-,-,-,10 or fewer
,Ohio,13.9%,16.5%,21.5%,79
,Kentucky,-,-,-,30
,South Carolina,-,-,-,33
,Alabama,-,-,-,11
,North Carolina,-,-,-,56
,Maine,-,-,-,11
,Guam,-,-,-,10 or fewer
,Illinois,-,-,35.5%,31
,Delaware,-,-,-,10 or fewer
,Michigan,-,-,-,44
,Oklahoma,-,-,-,13
,Pennsylvania,-,-,-,73
,Missouri,-,-,-,10 or fewer
,Virginia,-,-,-,40
,Louisiana,-,-,-,30
,Virgin Islands,-,-,-,10 or fewer
,Nebraska,-,-,-,10 or fewer
,Kansas,-,-,-,15
,Maryland,-,-,-,18
,Iowa,-,-,-,20
,Arkansas,-,-,-,12
,Idaho,-,-,-,10 or fewer
,North Dakota,-,-,-,10 or fewer
,Wisconsin,-,-,-,10 or fewer
,Tennessee,-,-,-,23
,Minnesota,-,-,-,10 or fewer
,New York,-,-,-,32
,New Jersey,-,-,-,25
,New Hampshire,-,-,-,10 or fewer
,South Dakota,-,-,-,10 or fewer
,Wyoming,-,-,-,10 or fewer
,New Mexico,-,-,-,10 or fewer
,Massachusetts,-,-,-,24
,Hawaii,-,-,-,10 or fewer
,Connecticut,-,-,-,31
,Rhode Island,-,-,-,10 or fewer
,Oregon,-,-,-,14
,Texas,-,-,-,92
,Georgia,-,-,-,12
,Arizona,-,-,-,10 or fewer
,Washington,-,-,-,10 or fewer
,Vermont,-,-,-,10 or fewer
,Florida,-,-,-,38
,Puerto Rico,-,-,-,10 or fewer
,California,-,23.2%,26.8%,56
,Alaska,-,-,-,10 or fewer
,Montana,-,-,-,10 or fewer
,Colorado,-,-,-,17
,None of the above,-,-,-,14
,Total,12.5%,14.7%,17.7%,1008
Total,Federated States of Micronesia,12.2%,13%,18.3%,115
,Northern Mariana Islands,11.7%,14.3%,15.6%,154
,Marshall Islands,-,-,21.7%,60
,"American Samoa, South Pacific",9%,11.2%,16.1%,410
,Mississippi,6.4%,7.8%,9.9%,2063615
,Indiana,5.9%,7.1%,8.9%,3191371
,West Virginia,5.9%,7.2%,9.1%,1134344
,Ohio,5.9%,7.2%,9.1%,9374124
,Kentucky,5.9%,7.1%,9%,2799149
,South Carolina,5.8%,7.1%,9.1%,3607837
,Alabama,5.6%,6.9%,8.9%,687018
,North Carolina,5.5%,6.7%,8.6%,6501712
,Maine,5.5%,6.5%,8.1%,867596
,Guam,5.4%,7.2%,9.1%,1047
,Illinois,5.4%,6.5%,8.2%,6551458
,Delaware,5.3%,6.6%,8.5%,543585
,Michigan,5.3%,6.5%,8.4%,5651481
,Oklahoma,5.3%,6.3%,7.7%,1422041
,Pennsylvania,5.2%,6.4%,8.4%,7753466
,Missouri,5.1%,6.2%,8%,1218203
,Virginia,5.1%,6.2%,8%,5299619
,Louisiana,5%,6.1%,7.7%,2569007
,Virgin Islands,5%,6.6%,9.7%,6433
,Nebraska,4.9%,6%,7.6%,892237
,Kansas,4.8%,6%,7.9%,1021931
,Maryland,4.8%,5.8%,7.5%,2356548
,Iowa,4.8%,5.7%,7.1%,1996176
,Arkansas,4.7%,5.6%,6.8%,1322760
