Session Title,Number of ED Encounters and Percent with Self-Harm Dx by State of Residence (U.S.) and Age at Time of Visit Range,,,,
Session ID,2758643,,,,
Data Model,ED Encounters,,,,
Population Base,All ED Encounters,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,,
Session Date Range,1/1/2023 - 8/27/2025 (Based On Arrival Date),,,,
Export User,Stephanie Perniciaro,,,,
Date of Export,9/19/2025,,,,
,,,,,
,,,,,
,,,Measures,Number of ED Encounters,Percent with Self-Harm Dx (%)
State of Residence (U.S.),Age at Time of Visit,Year,Month,,
,No value,2023,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug,10 or fewer,-
,,,Sep,10 or fewer,-
,,,Oct,10 or fewer,-
,,,Nov,10 or fewer,-
,,,Dec,10 or fewer,-
,,2024,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug,10 or fewer,-
,,,Sep,10 or fewer,-
,,,Oct,10 or fewer,-
,,,Nov,10 or fewer,-
,,,Dec,10 or fewer,-
,,2025,Jan,10 or fewer,-
,,,Feb,10 or fewer,-
,,,Mar,10 or fewer,-
,,,Apr,10 or fewer,-
,,,May,10 or fewer,-
,,,Jun,10 or fewer,-
,,,Jul,10 or fewer,-
,,,Aug 1 – Aug 27,10 or fewer,-
,Total,2023,Jan,308831,0.153%
,,,Feb,290161,0.139%
,,,Mar,327455,0.145%
,,,Apr,314173,0.13%
,,,May,333179,0.123%
,,,Jun,313313,0.116%
,,,Jul,324031,0.117%
,,,Aug,330679,0.123%
,,,Sep,334259,0.128%
,,,Oct,364566,0.13%
,,,Nov,358302,0.113%
,,,Dec,388679,0.111%
,,2024,Jan,372607,0.116%
,,,Feb,367031,0.11%
,,,Mar,376162,0.123%
,,,Apr,365531,0.126%
,,,May,386820,0.116%
,,,Jun,363598,0.12%
,,,Jul,380328,0.117%
,,,Aug,382343,0.122%
,,,Sep,382948,0.136%
,,,Oct,386528,0.132%
,,,Nov,369250,0.121%
,,,Dec,397054,0.113%
,,2025,Jan,390076,0.115%
,,,Feb,383078,0.107%
,,,Mar,396328,0.122%
,,,Apr,383592,0.13%
,,,May,399264,0.128%
,,,Jun,389393,0.126%
,,,Jul,405488,0.133%
,,,Aug 1 – Aug 27,356246,0.126%
Texas,Less than 10 Years,2023,Jan,43170,-
,,,Feb,39903,-
,,,Mar,47958,-
,,,Apr,48738,-
,,,May,51843,-
,,,Jun,40831,-
,,,Jul,37546,-
,,,Aug,43786,-
,,,Sep,49520,-
,,,Oct,53695,-
,,,Nov,58760,-
,,,Dec,60076,-
,,2024,Jan,50208,-
,,,Feb,50453,-
,,,Mar,48052,-
,,,Apr,47655,-
,,,May,49959,-
,,,Jun,42931,-
,,,Jul,41282,-
,,,Aug,46293,-
,,,Sep,51328,-
,,,Oct,61352,-
,,,Nov,66838,-
,,,Dec,70494,-
,,2025,Jan,62596,-
,,,Feb,54759,-
,,,Mar,58093,-
,,,Apr,57752,-
,,,May,58650,-
,,,Jun,46891,-
,,,Jul,45065,-
,,,Aug 1 – Aug 27,45206,-
,≥ 10 and < 15 Years,2023,Jan,12528,0.958%
,,,Feb,11814,0.923%
,,,Mar,14206,0.838%
,,,Apr,15007,0.8%
,,,May,14806,0.716%
,,,Jun,10401,0.769%
,,,Jul,9983,0.701%
,,,Aug,13146,0.753%
,,,Sep,15264,0.629%
,,,Oct,14858,0.599%
,,,Nov,14236,0.604%
,,,Dec,14722,0.496%
,,2024,Jan,14078,0.646%
,,,Feb,15240,0.577%
,,,Mar,13528,0.636%
,,,Apr,15602,0.692%
,,,May,14956,0.776%
,,,Jun,11713,0.674%
,,,Jul,10754,0.707%
,,,Aug,13700,0.591%
,,,Sep,17005,0.606%
,,,Oct,19203,0.557%
,,,Nov,16831,0.517%
,,,Dec,16591,0.446%
,,2025,Jan,17015,0.564%
,,,Feb,16558,0.598%
,,,Mar,17099,0.643%
,,,Apr,18347,0.654%
,,,May,16358,0.691%
,,,Jun,11885,0.715%
,,,Jul,11303,0.902%
,,,Aug 1 – Aug 27,13373,0.621%
,≥ 15 and < 20 Years,2023,Jan,16174,1.3%
,,,Feb,15123,1.2%
,,,Mar,17716,0.954%
,,,Apr,17779,1.2%
,,,May,17852,0.975%
,,,Jun,15878,0.831%
,,,Jul,16421,0.761%
,,,Aug,18459,0.926%
,,,Sep,19256,0.956%
,,,Oct,18651,0.745%
,,,Nov,17281,0.961%
,,,Dec,17267,0.747%
,,2024,Jan,17943,0.903%
,,,Feb,18021,0.771%
,,,Mar,17260,0.985%
,,,Apr,18536,1.1%
,,,May,18042,0.748%
,,,Jun,16687,0.755%
,,,Jul,17008,0.788%
,,,Aug,18587,0.796%
,,,Sep,20275,0.888%
,,,Oct,23032,0.903%
,,,Nov,21553,0.844%
,,,Dec,21269,0.776%
,,2025,Jan,22006,0.718%
,,,Feb,20133,0.899%
,,,Mar,21499,0.823%
,,,Apr,21743,0.952%
,,,May,20993,1%
,,,Jun,18745,0.8%
,,,Jul,19657,0.926%
,,,Aug 1 – Aug 27,18818,1%
,≥ 20 and < 30 Years,2023,Jan,37790,0.233%
,,,Feb,33489,0.305%
,,,Mar,40515,0.232%
,,,Apr,39793,0.317%
,,,May,42542,0.249%
,,,Jun,42043,0.197%
,,,Jul,43672,0.263%
,,,Aug,43770,0.226%
,,,Sep,41919,0.219%
,,,Oct,41092,0.234%
,,,Nov,40252,0.214%
,,,Dec,42014,0.228%
,,2024,Jan,42458,0.217%
,,,Feb,39919,0.225%
,,,Mar,40988,0.193%
,,,Apr,41792,0.244%
,,,May,43921,0.266%
,,,Jun,43679,0.245%
,,,Jul,45426,0.167%
,,,Aug,45448,0.205%
,,,Sep,43350,0.226%
,,,Oct,51392,0.218%
,,,Nov,49446,0.222%
,,,Dec,53207,0.195%
,,2025,Jan,54059,0.198%
,,,Feb,47101,0.202%
,,,Mar,52826,0.187%
,,,Apr,51616,0.277%
,,,May,53797,0.238%
,,,Jun,52732,0.235%
,,,Jul,54937,0.209%
,,,Aug 1 – Aug 27,49174,0.224%
,≥ 30 and < 50 Years,2023,Jan,70726,0.171%
,,,Feb,64351,0.131%
,,,Mar,75678,0.163%
,,,Apr,73578,0.159%
,,,May,78944,0.152%
,,,Jun,78712,0.17%
,,,Jul,80632,0.156%
,,,Aug,82719,0.151%
,,,Sep,78435,0.136%
,,,Oct,76600,0.148%
,,,Nov,74850,0.144%
,,,Dec,79117,0.11%
,,2024,Jan,80850,0.142%
,,,Feb,75754,0.106%
,,,Mar,78002,0.14%
,,,Apr,78910,0.146%
,,,May,82311,0.147%
,,,Jun,81801,0.132%
,,,Jul,86567,0.137%
,,,Aug,86719,0.125%
,,,Sep,83363,0.128%
,,,Oct,98014,0.129%
,,,Nov,93640,0.115%
,,,Dec,99512,0.115%
,,2025,Jan,102406,0.108%
,,,Feb,91201,0.14%
,,,Mar,102622,0.134%
,,,Apr,100544,0.158%
,,,May,103855,0.147%
,,,Jun,103449,0.124%
,,,Jul,108163,0.148%
,,,Aug 1 – Aug 27,95270,0.118%
,≥ 50 and < 65 Years,2023,Jan,49968,0.09%
,,,Feb,45370,0.101%
,,,Mar,51576,0.103%
,,,Apr,50043,0.098%
,,,May,53097,0.098%
,,,Jun,52868,0.083%
,,,Jul,54356,0.109%
,,,Aug,56006,0.095%
,,,Sep,52811,0.123%
,,,Oct,52622,0.067%
,,,Nov,50115,0.068%
,,,Dec,54018,0.068%
,,2024,Jan,54638,0.073%
,,,Feb,51373,0.074%
,,,Mar,53644,0.069%
,,,Apr,53344,0.086%
,,,May,55972,0.08%
,,,Jun,55698,0.077%
,,,Jul,58432,0.07%
,,,Aug,59194,0.063%
,,,Sep,56114,0.084%
,,,Oct,65056,0.063%
,,,Nov,62489,0.091%
,,,Dec,67948,0.062%
,,2025,Jan,68372,0.064%
,,,Feb,62668,0.075%
,,,Mar,69099,0.074%
,,,Apr,67794,0.066%
,,,May,71054,0.096%
,,,Jun,70039,0.064%
,,,Jul,72631,0.065%
,,,Aug 1 – Aug 27,63838,0.075%
,65 Years or more,2023,Jan,63052,0.027%
,,,Feb,57434,-
,,,Mar,65743,0.029%
,,,Apr,63584,-
,,,May,67230,-
,,,Jun,67056,0.031%
,,,Jul,68813,0.025%
,,,Aug,69870,0.03%
,,,Sep,66960,0.024%
,,,Oct,68899,0.028%
,,,Nov,67296,0.022%
,,,Dec,74631,0.028%
,,2024,Jan,73242,0.018%
,,,Feb,68065,0.016%
,,,Mar,71099,-
,,,Apr,71196,0.024%
,,,May,74278,0.02%
,,,Jun,73129,0.021%
,,,Jul,77851,-
,,,Aug,77129,0.019%
,,,Sep,73255,0.031%
,,,Oct,86270,0.026%
,,,Nov,85168,0.019%
,,,Dec,95234,0.02%
,,2025,Jan,94381,0.023%
,,,Feb,86092,0.026%
,,,Mar,96227,0.018%
,,,Apr,91988,0.028%
,,,May,96920,0.031%
,,,Jun,94751,0.02%
,,,Jul,97740,0.016%
,,,Aug 1 – Aug 27,86681,0.017%
